modelo,marca,precio_oficial,precio_retail,imagen_url
Rolex Submariner Date,Rolex,10600,14000,https://www.bachmann-scher.de/fileadmin/watches/017690/rolex-submariner-date-ref-16618-18k-yellow-gold-full-set-bj-2002-b.jpg
Omega Speedmaster Moonwatch,Omega,7200,9500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKBHeN9_hr6Juaz01x4VjLbHvHFiPd2oIJbw&s
Audemars Piguet Royal Oak,Audemars Piguet,34500,52000,https://www.thestore.ae/wp-content/uploads/2024/11/Pre-owned-Audemars-Piguet-Royal-Oak-Frosted-Gold-Chronograph-White-Gold-Limited-Edition-26239BC.GG_.1224BC-2-scaled.jpeg
Patek Philippe Nautilus,Patek Philippe,34000,70000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI0I9dPcfvu29uGFibJ986nnTM6n9bzotjxA&s
Cartier Santos,Cartier,7200,8500,https://i.ebayimg.com/images/g/CsMAAOSwyFBhW0By/s-l400.jpg
TAG Heuer Carrera,TAG Heuer,4950,5900,https://img.chrono24.com/images/uhren/39713733-dpi1xampadxlyjopzq9d5cgu-ExtraLarge.jpg
IWC Portugieser,IWC,7500,8800,https://www.iwc.com/content/dam/rcq/iwc/88/38/76/6/8838766.png
Breitling Navitimer,Breitling,8200,9500,https://monochrome-watches.com/wp-content/uploads/2018/09/IWC-Portugieser-Chronograph-3714-Review-14.jpg
Tudor Black Bay,Tudor,4150,5000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwbiV0k5jd91xLRMca69JyGuEC7AEIAzWZvA&s
Hublot Big Bang,Hublot,14200,18000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEWh_vIYRJK53rMo-Y0vwgUbySEhbOqTwFbw&s
